"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 21 18:20:20 GMT 2025","Thu Aug 21 18:20:20 GMT 2025","8","LMS system","Authentication","LOGIN","","","User login with correct email and password",""
"passed","Thu Aug 21 18:20:25 GMT 2025","Thu Aug 21 18:20:27 GMT 2025","2366","LMS system","Courses","Courses","","","Create course 2",""
"passed","Thu Aug 21 18:20:20 GMT 2025","Thu Aug 21 18:20:21 GMT 2025","1490","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"passed","Thu Aug 21 18:20:17 GMT 2025","Thu Aug 21 18:20:19 GMT 2025","2218","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Thu Aug 21 18:20:20 GMT 2025","Thu Aug 21 18:20:21 GMT 2025","1226","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Thu Aug 21 18:20:21 GMT 2025","Thu Aug 21 18:20:53 GMT 2025","31358","LMS system","Authentication","LOGIN","","","Navigation from login page to registration page",""
"passed","Thu Aug 21 18:20:28 GMT 2025","Thu Aug 21 18:20:30 GMT 2025","1661","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Aug 21 18:20:23 GMT 2025","Thu Aug 21 18:20:25 GMT 2025","1301","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Aug 21 18:20:17 GMT 2025","Thu Aug 21 18:20:19 GMT 2025","2137","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"failed","Thu Aug 21 18:20:55 GMT 2025","Thu Aug 21 18:21:01 GMT 2025","6164","LMS system","Courses","Courses","","","Create course",""
